"title","year","sound","resolution"
"Hur m?nga lingon finns det i v?rlden (2011)","2011","AC-3","720x576"
"H?lsoresan (1999)","1999","AC-3","720x576"
"Ice Age (2002)","2002","AAC","720x576"
"Ice Age 2 Istiden har aldrig varit hetare (2006)","2006","AAC","720x576"
"Ice Age 3 Det v?ras f?r dinosaurierna (2009)","2009","AC-3","720x576"
"Ice Age 4 Jorden skakar loss (2012)","2012","AC-3","720x576"
"Into The Wild (2007)","2007","AAC","720x576"
"Iskallt uppdrag (1987)","1987","AC-3","720x576"
"Jackass 3 (2010)","2010","AAC","720x576"
"Jimi Hendrix ? Blue Wild Angel Jimi Hendrix Live At The Isle Of Wight (2014)","2014","PCM","1920x1080"
"JUNO (2007)","2007","AC-3","720x576"
"J?nssonligan - Den perfekta st?ten (2015)","2015","AAC","720x576"
"J?nssonligan Dynamitharry (1982)","1982","AAC","720x576"
"J?nssonligan f?r guldfeber (1984)","1984","AAC","720x576"
"J?nssonligan Svarta Diamanten (1992)","1992","AAC","720x576"
"J?nssonligans st?rsta kupp (1995)","1995","AAC","720x576"
"Kalle och chokladfabriken (2005)","2005","AC-3","720x576"
"Kill Bill Volume 2 (2004)","2004","AC-3","720x576"
"Kingpin (1996)","1996","MPEG Audio","720x576"
"Kog?nget (2004)","2004","DTS","1920x1080"
"Koks i lasten (1992)","1992","AAC","720x576"
"Kommissarie Sp?ck (2010)","2010","AC-3","720x576"
"Kopps (2003)","2003","AC-3","720x576"
"Kurt & Courtney (1998)","1998","E-AC-3","1920x1080"
"Kurt Cobain - About a son (2006)","2006","AC-3","1920x1080"
"Kurt Cobain - Montage of heck (2015)","2015","DTS","1920x1080"
"Last Chance Harvey (2008)","2008","AAC","720x576"
"Leva och l?ta d? (1973)","1973","AC-3","720x576"
"Lilla J?nssonligan & stj?rnkuppen (2006)","2006","AAC","720x576"
"Lilla J?nssonligan och cornflakeskuppen (1996)","1996","AC-3","720x576"
"Lilla Kycklingen (2005)","2005","AC-3","720x576"
"Lone Survivor (2013)","2013","AC-3","1920x1080"
"Mamma Mia (2008)","2008","AC-3","720x576"
"Man lever bara tv? g?nger (1967)","1967","AC-3","720x576"
"Moonraker (1979)","1979","AC-3","720x576"
"Narnia (2010)","2010","AC-3","720x576"
"Nasses stora film (2002)","2002","AC-3","720x576"
"Natt p? Museet (2006)","2006","AAC","720x576"
"Natt p? Museet 2 (2009)","2009","AC-3","720x576"
"Need for speed (2014)","2014","DTS","1920x1080"
"Never Say Never Again (1983)","1983","AC-3","720x576"
"Nicke Nyfiken - En apkul jul (2009)","2009","AC-3","720x576"
"Nicke Nyfiken (2006)","2006","AC-3","720x576"
"Nicke Nyfiken 3 - Tillbaka till djungeln (2015)","2015","AC-3","720x576"
"Nyckeln till frihet (1994)","1994","AC-3","1920x1080"
"Ondskan (2003)","2003","AC-3","720x576"
"Pettson och Findus - katten och gubbens ?r (1999)","1999","AC-3","720x576"
"Pingvinerna Fr?n Madagaskar - Uppdrag Semester (2012)","2012","AC-3","720x576"
"Pippi L?ngstrum - M?ter Vita Frun (1997)","1997","AC-3","720x576"
"Pippi L?ngstrump - buskul p? marknaden (1997)","1997","AC-3","720x576"
"Pippi L?ngstrump p? de sju haven (1970)","1970","AC-3","720x576"
"Pippis ballongf?rd (1969)","1969","AC-3","720x576"
"Pirates of the Caribbean- On Stranger Tides (2011)","2011","DTS","1920x1080"
"Pirates of the Caribbean Svarta P?rlans f?rbannelse (2003)","2003","AC-3","720x576"
"Pitch Perfect 2 (2015)","2015","AC-3","720x576"
"Pulp Fiction (1994)","1994","AAC","3840x1634"
"P? sm?llen (2007)","2007","AAC","720x576"
"Rango (2011)","2011","AC-3","1920x1080"
"Red Dawn (2012)","2012","AAC","720x576"
"Resident Evil Extinction (2007)","2007","MLP FBA","1920x1080"
"Ringaren i Notre Dame (1996)","1996","AC-3","1920x1080"
"Ringaren i Notre Dame II (2002)","2002","AC-3","720x576"
"Robin Hood (1973)","1973","AC-3","720x576"
"Robotar (2005)","2005","DTS","1920x1080"
"R?narna (2003)","2003","AC-3","720x576"
"R?jar-Ralf (2012)","2012","DTS","1920x1080"
"Safe Haven (2013)","2013","DTS","1920x1080"
"Sammys ?ventyr 2 (2012)","2012","AC-3","1920x1080"
"Scarface (1983)","1983","AC-3","720x576"
"Scary Movie 3 (2003)","2003","AC-3","720x576"
"Scary Movie V (2013)","2013","AAC","720x576"
"School Of Rock (2004)","2004","AAC","720x576"
"Scooby Doo (Scooby-Doo) (2002)","2002","AAC","720x576"
"Scooby Doo 2 ? Monstren ?r l?sa (2002)","2002","AC-3","720x576"
"Scooby Doo och arabiska n?tter (1994)","1994","AC-3","720x576"
"Scooby Doo och ghoulskolan (1988)","1988","AC-3","720x576"
"Scooby Doo och monstret fr?n Mexico (2003)","2003","AC-3","720x576"
"Scooby-Doo Hassle in the Castle (1969)","1969","AC-3","720x576"
"Scooby-Doo m?ter br?derna Bu (1987)","1987","AC-3","720x576"
"Scooby-Doo Och den Motvillige Varulven (1988)","1988","AAC","720x576"
"Scooby-Doo och legenden om vampyren (2003)","2003","AAC","720x576"
"Scooby-Doo och Loch Ness-monstret (2004)","2004","AAC","720x576"
"Scooby-Doo p? Zombie?n (1998)","1998","AC-3","720x576"
"Scooby-Doo! & Mysteriet med samurajsv?rdet (2008)","2008","AC-3","720x576"
"Scooby-Doo! 13 Spooky Tales Field of Screams (2014)","2014","AC-3","720x576"
"Scooby-Doo! Och Inkr?ktarna Fr?n Rymden (2000)","2000","AC-3","720x576"
"Scooby-Doo! Pirates Ahoy! (2006)","2006","AC-3","720x576"
"Scooby-Doo! Rysliga sommar (2010)","2010","AC-3","720x576"
"Scooby-Doo's Greatest Mysteries (2006)","2006","AAC","720x576"
"scream 4 (2011)","2011","AAC","720x576"
"Sean Banan inuti Seanfrika (2012)","2012","AC-3","720x576"
"Shrek 2 (2004)","2004","AAC","720x576"
"Shrek den tredje (2007)","2007","AC-3","720x576"
"Skattkammarplaneten (2002)","2002","DTS","1920x1080"
"Sk?nheten och odjuret (1991)","1991","DTS","1920x1080"
"Sleepy Hollow (1999)","1999","AAC","720x576"
"Sl?kten ?r v?rst (2000)","2000","AC-3","720x576"
"Sm? citroner gula (2013)","2013","AC-3","720x576"
"Snabba cash - Livet deluxe (2013)","2013","DTS","1920x1080"
"Snabba cash (2010)","2010","AC-3","720x576"
"Snabba cash II (2012)","2012","AC-3","720x576"
"Sn?lvatten och j?kelskap (2001)","2001","AAC","708x576"
"Soaked In Bleach (2015)","2015","AC-3","720x576"
"Sommaren Med G?ran (2009)","2009","AC-3","720x576"
"SOS ? en segels?llskapsresa (1988)","1988","AC-3","720x576"
"Space Jam A New Legacy (2021)","2021","MLP FBA","1920x1080"
"Stand By Me (1986)","1986","AAC","3840x2160"
"Star Trek (2009)","2009","AAC","720x576"
"Star Wars Episod III (2005)","2005","AC-3","720x576"
"Star Wars The Clone Wars (2008)","2008","AC-3","1920x1080"
"Step Up (2006)","2006","AC-3","720x576"
"Step Up 2 The Streets (2008)","2008","AC-3","720x576"
"Sune Och Hans V?rld Dr?mprinsen (2002)","2002","AC-3","720x576"
"Surfs Up (2007)","2007","AAC","720x576"
"Svensson Svensson - filmen (1997)","1997","AC-3","720x576"
"S?llskapsresan (1980)","1980","AC-3","720x576"
"S?llskapsresan II ? Snowroller (1985)","1985","AC-3","720x576"
"Terminator 2 judgement day (1991)","1991","AC-3","720x576"
"Terminator 3 ? Rise of the Machines (2003)","2003","AC-3","720x576"
"The Bucket List (2007)","2007","AAC","1920x1080"
"The Dictator (2012)","2012","AC-3","720x576"
"The Fast and the Furious (2001)","2001","AC-3","720x576"
"The Fast And The Furious Tokyo Drift (2006)","2006","AAC","720x576"
"The Hangover (2009)","2009","AC-3","720x576"
"The Hangover Part III (2013)","2013","AAC","720x576"
"The Inbetweeners (2011)","2011","AC-3","720x576"
"The Lego Movie (2014)","2014","DTS","1920x1080"
"The Lucky One (2012)","2012","AAC","720x576"
"The Penguins Of Madagascar Operation Impossible Possible (2009)","2009","AC-3","720x576"
"The rebound (2009)","2009","DTS","1920x1080"
"The Simpsons Movie (2007)","2007","AC-3","1920x1080"
"The Steve-O Video Vol. II - The Tour Video (2002)","2002","AC-3","720x576"
"The Tourist (2010)","2010","DTS","1920x1080"
"The Wolf of Wall Street (2013)","2013","AC-3","720x576"
"Tid f?r h?mnd (1989)","1989","AAC","720x576"
"Tillbaka till bromma (2014)","2014","DTS","1920x1080"
"Tillbaka till framtiden (1985)","1985","AC-3","720x576"
"Tillbaka till framtiden del II (1989)","1989","AAC","720x576"
"Tillbaka till framtiden del III (1990)","1990","AAC","720x576"
"Tintins ?ventyr Enh?rningens hemlighet (2011)","2011","DTS","1920x1080"
"Titanic (1997)","1997","AC-3","720x576"
"Tjenare Kungen (2005)","2005","AC-3","720x576"
"To The Wonder (2012)","2012","AAC","720x576"
"Tom & Jerry - The Classic Collection 12 (2001)","2001","AC-3","720x576"
"Tom & Jerry firar jul (2003)","2003","AC-3","720x576"
"Tom and Jerry Shiver Me Whiskers (2006)","2006","AC-3","720x576"
"Tomten ?r far till alla barnen (1999)","1999","AC-3","720x576"
"Torkel i Knipa (2004)","2004","E-AC-3","1920x1080"
"Torsk p? Tallinn (1999)","1999","AC-3","720x576"
"Transformers - Revenge of the Fallen (2009)","2009","DTS","1920x1080"
"Turbo (2013)","2013","DTS","1920x1080"
"Tv? tigerbr?der (2004)","2004","AC-3","720x576"
"Ur d?dlig synvinkel (1981)","1981","AC-3","720x576"
"Vad kvinnor vill ha (2000)","2000","AC-3","720x576"
"Valiant (2005)","2005","AC-3","720x576"
"Venom (2018)","2018","DTS","1920x1080"
"V?rlden r?cker inte till (1999)","1999","AC-3","720x576"
"Wall-E (2008)","2008","AAC","1920x1080"
"Winter Wonderland (2003)","2003","AC-3","720x576"
"Zuper Zebran (2005)","2005","AC-3","720x576"
